outcome,sumfg,sumfg3,sumft,sumorb,sumast,sumpts,sumdrb,sumstl,sumblk,Offensive Effort,Defensive Effort
1,69,20,31,17,44,189,61,11,7,1,1
0,67,23,29,17,39,186,60,8,12,0,0
0,43,19,17,16,30,122,37,4,9,0,0
1,76,25,48,29,40,225,75,11,6,1,1
0,64,20,16,10,25,164,49,13,10,1,1
1,46,13,22,12,23,127,40,9,4,0,0
0,49,9,18,20,25,125,29,11,4,1,0
1,45,23,13,9,28,126,32,3,4,0,0
1,65,21,52,9,31,203,78,10,10,1,1
0,37,11,15,11,26,100,36,6,3,0,0
1,41,11,26,10,26,119,35,5,6,0,0
0,58,12,30,12,45,158,32,12,9,1,1
0,38,5,20,9,22,101,31,9,7,0,0
1,66,12,54,16,29,198,61,15,10,1,1
0,33,9,10,10,20,85,44,8,2,0,0
1,54,13,11,8,34,132,45,17,5,1,1
0,55,13,31,13,31,154,57,7,2,0,0
1,58,13,43,17,36,172,80,12,11,1,1
1,49,11,15,9,31,124,35,13,9,1,1
0,34,10,17,12,17,95,35,5,5,0,0
1,53,29,30,17,40,165,53,19,7,1,1
0,49,9,28,20,16,135,54,12,6,0,0
0,44,10,13,5,24,111,34,16,1,1,0
1,42,7,29,10,22,120,41,6,5,0,1
0,62,19,41,10,24,184,69,9,8,0,1
1,69,10,17,16,24,165,57,6,6,0,0
1,44,11,18,8,27,117,34,9,2,1,1
0,35,10,20,9,20,100,30,6,5,0,0
0,39,15,29,15,27,122,27,7,0,0,0
1,80,33,36,3,57,229,53,13,6,1,1
0,54,29,48,15,43,185,66,9,8,0,0
1,84,29,16,12,51,213,90,12,15,0,1
1,73,24,25,34,38,195,60,16,11,1,1
0,58,29,25,10,36,170,70,3,8,0,0
1,51,24,27,14,28,153,44,17,2,1,1
0,38,17,16,9,17,109,30,14,4,0,0
0,37,12,13,9,26,99,33,6,5,0,0
1,43,12,23,13,30,121,39,11,6,1,1
1,56,11,48,11,27,171,61,11,19,1,1
0,34,8,31,10,25,107,44,5,1,0,0
1,60,11,35,18,38,166,53,25,17,1,1
0,47,14,34,3,30,142,55,12,4,0,0
1,40,12,18,9,18,110,36,14,7,1,1
0,39,10,14,15,24,102,41,8,6,0,0
1,83,26,38,20,44,230,70,16,14,1,1
0,45,15,11,12,30,116,36,6,3,0,0
0,59,10,26,10,25,154,70,12,10,1,1
1,39,11,8,8,21,97,39,9,6,0,0
1,71,15,26,7,29,183,50,12,6,1,1
0,37,15,23,13,17,112,30,10,2,0,0
1,43,9,8,9,22,103,43,5,9,0,1
0,48,9,37,19,21,142,37,9,7,1,0
0,29,9,17,12,18,84,33,9,2,0,0
1,64,26,33,18,46,187,86,17,20,1,1
1,40,11,19,12,23,110,32,9,7,0,0
0,67,17,15,9,41,166,43,12,5,1,1
0,41,8,21,5,20,111,30,11,7,0,0
1,76,26,34,11,49,212,58,21,6,1,1
1,70,25,44,14,36,209,54,11,6,1,1
0,46,18,13,9,27,123,33,9,2,0,0
1,80,26,44,10,54,230,74,11,6,0,0
0,75,31,48,10,39,229,74,15,6,0,0
1,69,23,35,21,41,196,55,24,17,1,1
0,31,7,26,16,15,95,39,7,4,0,0
0,69,22,47,15,38,207,53,13,6,1,1
